Scientificname,Biologicalname,Medicinalvalue,Family,CommonUses,ActiveCompounds,ToxicityLevel,GeographicalDistribution,GrowthHabit,PartsUsed,PreparationMethods,ConservationStatus
Mussaenda philippica,Golden Mussaenda,Used for its anti-inflammatory and wound healing properties.,Rubiaceae,"Anti-inflammatory, wound healing","Flavonoids, tannins",Low,Southeast Asia,Shrub,Leaves,Poultice,Not Evaluated
Nelumbo nucifera,Lotus,Used for its calming effects and to support heart health.,Nelumbonaceae,"Calming, heart health","Alkaloids, flavonoids",Low,Asia,Aquatic plant,Seeds,Decoction,Not Evaluated
Ocimum basilicum,Basil,Used for its anti-inflammatory properties and to aid digestion.,Lamiaceae,"Anti-inflammatory, digestive aid","Essential oils, flavonoids",Low,Global,Herb,Leaves,Infusion,Not Evaluated
Ocimum gratissimum,African Basil,Used for its antimicrobial and anti-inflammatory effects.,Lamiaceae,"Antimicrobial, anti-inflammatory","Essential oils, flavonoids",Low,Africa,Herb,Leaves,Infusion,Not Evaluated
Ocimum sanctum,Holy Basil,Used for its adaptogenic properties and to reduce stress.,Lamiaceae,"Adaptogenic, stress relief","Eugenol, flavonoids",Low,India,Herb,Leaves,Infusion,Not Evaluated
Oenanthe javanica,Water Celery,Used for its diuretic effects and to support digestive health.,Apiaceae,"Diuretic, digestive health","Flavonoids, essential oils",Low,East Asia,Herb,Leaves,Infusion,Not Evaluated
Ophiopogon japonicus,Mondo Grass,Used for its potential benefits in lung health and anti-inflammatory properties.,Asparagaceae,"Lung health, anti-inflammatory","Saponins, flavonoids",Low,East Asia,Herb,Roots,Decoction,Not Evaluated
Paederia lanuginosa,Hairy Paederia,Used for its anti-inflammatory and antimicrobial properties.,Rubiaceae,"Anti-inflammatory, antimicrobial","Flavonoids, tannins",Low,Southeast Asia,Vine,Leaves,Infusion,Not Evaluated
Pandanus amaryllifolius,Pandan,Used for its flavoring properties and to aid digestion.,Pandanaceae,"Flavoring, digestive aid","Essential oils, flavonoids",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Pandanus sp,Screw Pine,Used traditionally for its aromatic properties and in culinary applications.,Pandanaceae,"Aromatic, culinary","Essential oils, flavonoids",Low,Southeast Asia,Tree,Leaves,Infusion,Not Evaluated
Pandanus tectorius,Hala Tree,Used for its fibrous leaves and potential anti-inflammatory effects.,Pandanaceae,"Fibrous leaves, anti-inflammatory","Flavonoids, essential oils",Low,Pacific Islands,Tree,Leaves,Infusion,Not Evaluated
Parameria laevigata,Parameria,Used for its anti-inflammatory and tonic properties.,Apocynaceae,"Anti-inflammatory, tonic","Alkaloids, flavonoids",Low,Southeast Asia,Tree,Bark,Decoction,Not Evaluated
Passiflora foetida,Wild Passionflower,Used for its calming effects and to treat anxiety.,Passifloraceae,"Calming, anxiety relief","Flavonoids, alkaloids",Low,Global,Vine,Leaves,Infusion,Not Evaluated
Pereskia sacharosa,Rose Cactus,Used for its potential anti-inflammatory and wound healing properties.,Cactaceae,"Anti-inflammatory, wound healing","Flavonoids, polyphenols",Low,South America,Shrub,Leaves,Poultice,Not Evaluated
Persicaria odorata,Vietnamese Mint,Used for its digestive benefits and antimicrobial properties.,Polygonaceae,"Digestive health, antimicrobial","Flavonoids, essential oils",Low,Southeast Asia,Herb,Leaves,Infusion,Not Evaluated
Phlogacanthus turgidus,Phlogacanthus,Used for its anti-inflammatory and antiseptic effects.,Acanthaceae,"Anti-inflammatory, antiseptic","Flavonoids, tannins",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Phrynium placentarium,Rattlesnake Plant,Used for its traditional use in treating skin conditions and as an anti-inflammatory.,Marantaceae,"Skin conditions, anti-inflammatory","Flavonoids, tannins",Low,Southeast Asia,Herb,Leaves,Poultice,Not Evaluated
Phyllanthus reticulatus,Leaf Flower,Used for its liver health benefits and antiviral properties.,Phyllanthaceae,"Liver health, antiviral","Flavonoids, tannins",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Piper betle,Betel Leaf,Used for its digestive aid and antimicrobial effects.,Piperaceae,"Digestive aid, antimicrobial","Eugenol, flavonoids",Low,Southeast Asia,Vine,Leaves,Chewed or infusion,Not Evaluated
Piper sarmentosum,Wild Betel Leaf,Used for its anti-inflammatory and antimicrobial properties.,Piperaceae,"Anti-inflammatory, antimicrobial","Flavonoids, essential oils",Low,Southeast Asia,Vine,Leaves,Infusion,Not Evaluated
Plantago,Plantain,Used for its wound healing and anti-inflammatory effects.,Plantaginaceae,"Wound healing, anti-inflammatory","Flavonoids, tannins",Low,Global,Herb,Leaves,Poultice,Not Evaluated
Platycladus orientalis,Oriental Arborvitae,Used for its potential anti-inflammatory and calming properties.,Cupressaceae,"Anti-inflammatory, calming","Flavonoids, essential oils",Low,East Asia,Tree,Leaves,Infusion,Not Evaluated
Plectranthus amboinicus,Oregano Bush,Used for its antimicrobial properties and digestive aid.,Lamiaceae,"Antimicrobial, digestive aid","Essential oils, flavonoids",Low,Southeast Asia,Herb,Leaves,Infusion,Not Evaluated
Pluchea pteropoda,Scented Pluchea,Used for its anti-inflammatory and analgesic effects.,Asteraceae,"Anti-inflammatory, analgesic","Flavonoids, terpenes",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Plukenetia volubilis,Sacha Inchi,Rich in omega fatty acids; used for heart health and skin benefits.,Euphorbiaceae,"Heart health, skin benefits","Omega-3 fatty acids, vitamins",Low,South America,Vine,Seeds,Oil extraction,Not Evaluated
Plumbago indica,Leadwort,Used for its anti-inflammatory properties and to treat skin conditions.,Plumbaginaceae,"Anti-inflammatory, skin health","Plumbagin, flavonoids",Moderate,Southeast Asia,Shrub,Roots,Decoction,Not Evaluated
Plumeria rubra,Frangipani,Used for its calming effects and traditional uses in skin care.,Apocynaceae,"Calming, skin care","Flavonoids, essential oils",Low,Global,Tree,Flowers,Infusion,Not Evaluated
Polygonum cuspidatum,Japanese Knotweed,Used for its antioxidant properties and to support cardiovascular health.,Polygonaceae,"Antioxidant, cardiovascular health","Resveratrol, flavonoids",Low,East Asia,Herb,Roots,Decoction,Not Evaluated
Polyscias fruticosa,Hawaiian Willow,Used for its potential anti-inflammatory and immune-boosting effects.,Araliaceae,"Anti-inflammatory, immune support","Flavonoids, saponins",Low,Southeast Asia,Tree,Leaves,Infusion,Not Evaluated
Polyscias guilfoylei,Polyscias,Traditionally used for its tonic and adaptogenic properties.,Araliaceae,"Tonic, adaptogenic","Flavonoids, saponins",Low,Southeast Asia,Tree,Leaves,Infusion,Not Evaluated
Polyscias scutellaria,Shield Polyscias,"Used for its traditional medicinal benefits, including anti-inflammatory effects.",Araliaceae,"Anti-inflammatory, traditional remedy","Flavonoids, saponins",Low,Southeast Asia,Tree,Leaves,Infusion,Not Evaluated
Pouzolzia zeylanica,Pouzolzia,Used for its astringent properties and in traditional medicine for various ailments.,Urticaceae,"Astringent, traditional remedy","Tannins, flavonoids",Low,Southeast Asia,Herb,Leaves,Infusion,Not Evaluated
Premna serratifolia,Premna,Used for its anti-inflammatory and analgesic properties.,Lamiaceae,"Anti-inflammatory, analgesic","Flavonoids, tannins",Low,Southeast Asia,Tree,Bark,Decoction,Not Evaluated
Pseuderanthemum latifolium,Broadleaf Pseuderanthemum,Used for its potential antimicrobial and anti-inflammatory effects.,Acanthaceae,"Antimicrobial, anti-inflammatory","Flavonoids, terpenes",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Psidium guajava,Guava,Rich in vitamin C; used for digestive health and anti-diarrheal properties.,Myrtaceae,"Digestive health, anti-diarrheal","Vitamin C, flavonoids",Low,Global,Tree,Fruit,Raw or cooked,Not Evaluated
Psychotria reevesii,Reeves' Psychotria,Used in traditional medicine for its anti-inflammatory properties.,Rubiaceae,"Anti-inflammatory, traditional remedy","Flavonoids, alkaloids",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Psychotria rubra,Red Psychotria,Used for its potential digestive benefits and as an anti-inflammatory.,Rubiaceae,"Digestive health, anti-inflammatory","Flavonoids, tannins",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Quisqualis indica,Rangoon Creeper,Used for its anti-inflammatory and antimicrobial properties.,Combretaceae,"Anti-inflammatory, antimicrobial","Flavonoids, tannins",Low,Southeast Asia,Vine,Leaves,Infusion,Not Evaluated
Rauvolfia,Rauvolfia,Used for its potential antihypertensive and sedative effects.,Apocynaceae,"Antihypertensive, sedative","Reserpine, alkaloids",High,Global,Tree,Roots,Decoction,Not Evaluated
Rauvolfia tetraphylla,Devil Pepper,Used for treating hypertension and anxiety.,Apocynaceae,"Hypertension, anxiety relief","Reserpine, alkaloids",High,Global,Tree,Roots,Decoction,Not Evaluated
Rhinacanthus nasutus,Snakeweed,Used for its anti-inflammatory and antimicrobial effects.,Acanthaceae,"Anti-inflammatory, antimicrobial","Flavonoids, tannins",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Rhodomyrtus tomentosa,Rose Myrtle,Used for its antioxidant properties and to support digestive health.,Myrtaceae,"Antioxidant, digestive health","Flavonoids, vitamins",Low,Southeast Asia,Shrub,Fruit,Raw or cooked,Not Evaluated
Ruellia tuberosa,Minced Plant,Used for its diuretic effects and to treat urinary issues.,Acanthaceae,"Diuretic, urinary health","Flavonoids, tannins",Low,Southeast Asia,Herb,Leaves,Infusion,Not Evaluated
Sansevieria canaliculata,Channelled Snake Plant,Used for its air-purifying properties and potential health benefits.,Asparagaceae,"Air-purifying, health benefits","Saponins, flavonoids",Low,Africa,Succulent,Leaves,Infusion,Not Evaluated
Sansevieria hyacinthoides,Hyacinth Snake Plant,Traditionally used for its anti-inflammatory and antimicrobial properties.,Asparagaceae,"Anti-inflammatory, antimicrobial","Saponins, flavonoids",Low,Africa,Succulent,Leaves,Infusion,Not Evaluated
Sarcandra glabra,Shui Xian,Used in traditional medicine for its anti-inflammatory and diuretic effects.,Chloranthaceae,"Anti-inflammatory, diuretic","Flavonoids, saponins",Low,East Asia,Herb,Leaves,Infusion,Not Evaluated
Sauropus androgynus,Katuk,Rich in vitamins; used for its nutritional benefits and to support lactation.,Phyllanthaceae,"Nutritional, lactation support","Vitamins, flavonoids",Low,Southeast Asia,Shrub,Leaves,Raw or cooked,Not Evaluated
Schefflera heptaphylla,Umbrella Tree,Used for its potential anti-inflammatory properties and as an ornamental plant.,Araliaceae,"Anti-inflammatory, ornamental","Flavonoids, saponins",Low,Southeast Asia,Tree,Leaves,Infusion,Not Evaluated
Schefflera venulosa,Venulous Schefflera,Used for its traditional medicinal properties and ornamental value.,Araliaceae,"Traditional remedy, ornamental","Flavonoids, saponins",Low,Southeast Asia,Tree,Leaves,Infusion,Not Evaluated
Senna alata,Candle Bush,Used for its laxative properties and to treat skin conditions.,Fabaceae,"Laxative, skin health","Anthraquinones, flavonoids",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Sida acuta,Sida,Used for its anti-inflammatory and antimicrobial effects.,Malvaceae,"Anti-inflammatory, antimicrobial","Flavonoids, alkaloids",Low,Southeast Asia,Herb,Leaves,Infusion,Not Evaluated
Solanum mammosum,Nipple Fruit,Traditionally used for its potential analgesic properties.,Solanaceae,"Analgesic, traditional remedy","Alkaloids, flavonoids",Moderate,South America,Shrub,Fruit,Infusion,Not Evaluated
Solanum torvum,Turkey Berry,Used for its anti-inflammatory effects and to support digestive health.,Solanaceae,"Anti-inflammatory, digestive health","Flavonoids, alkaloids",Low,Southeast Asia,Shrub,Fruit,Raw or cooked,Not Evaluated
Spilanthes acmella,Toothache Plant,Used for its analgesic properties and to relieve dental pain.,Asteraceae,"Analgesic, dental pain relief","Alkylamides, flavonoids",Low,Global,Herb,Flowers,Infusion,Not Evaluated
Spondias dulcis,Ambarella,Rich in vitamins; used for digestive health and anti-inflammatory effects.,Anacardiaceae,"Digestive health, anti-inflammatory","Vitamins, flavonoids",Low,Southeast Asia,Tree,Fruit,Raw or cooked,Not Evaluated
Stachytarpheta jamaicensis,Vervain,Used for its anti-inflammatory and antiviral properties.,Verbenaceae,"Anti-inflammatory, antiviral","Flavonoids, tannins",Low,Global,Herb,Leaves,Infusion,Not Evaluated
Stephania dielsiana,Diels' Stephania,Used for its potential anti-inflammatory and analgesic effects.,Menispermaceae,"Anti-inflammatory, analgesic","Alkaloids, flavonoids",Low,Southeast Asia,Vine,Roots,Decoction,Not Evaluated
Stereospermum chelonoides,Indian Trumpet Tree,Used for its medicinal properties in treating respiratory issues.,Bignoniaceae,"Respiratory health, traditional remedy","Flavonoids, tannins",Low,South Asia,Tree,Bark,Decoction,Not Evaluated
Streptocaulon juventas,Juventa,Used for its potential anti-inflammatory and wound healing properties.,Apocynaceae,"Anti-inflammatory, wound healing","Flavonoids, saponins",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Syzygium nervosum,Nervous Syzygium,Traditionally used for its antiseptic and digestive benefits.,Myrtaceae,"Antiseptic, digestive health","Flavonoids, tannins",Low,Southeast Asia,Tree,Bark,Decoction,Not Evaluated
Tabernaemontana divaricata,Crape Jasmine,Used for its analgesic and anti-inflammatory effects.,Apocynaceae,"Analgesic, anti-inflammatory","Alkaloids, flavonoids",Low,Southeast Asia,Shrub,Leaves,Infusion,Not Evaluated
Tacca subflabellata,Flat Tacca,Used traditionally for its digestive and anti-inflammatory properties.,Taccaceae,"Digestive health, anti-inflammatory","Flavonoids, tannins",Low,Southeast Asia,Herb,Rhizome,Decoction,Not Evaluated
Tamarindus indica,Tamarind,Rich in antioxidants; used for digestive health and to reduce fever.,Fabaceae,"Digestive health, fever reduction","Tartaric acid, vitamins",Low,Global,Tree,Fruit,Raw or cooked,Not Evaluated
Terminalia catappa,Indian Almond,Used for its anti-inflammatory properties and to promote digestive health.,Combretaceae,"Anti-inflammatory, digestive health","Flavonoids, tannins",Low,Southeast Asia,Tree,Fruit,Raw or cooked,Not Evaluated
Tradescantia discolor,Purple Heart,Used traditionally for its antioxidant and anti-inflammatory effects.,Commelinaceae,"Antioxidant, anti-inflammatory","Flavonoids, polyphenols",Low,Central America,Herb,Leaves,Infusion,Not Evaluated
Trichanthera gigantea,Giant Chaff Flower,Used for its nutritional benefits and as fodder in livestock.,Acanthaceae,"Nutritional, livestock fodder","Flavonoids, vitamins",Low,South America,Shrub,Leaves,Infusion,Not Evaluated
Vernonia amygdalina,Bitter Leaf,Used for its antimalarial properties and to aid digestion.,Asteraceae,"Antimalarial, digestive aid","Flavonoids, sesquiterpenes",Low,Africa,Shrub,Leaves,Infusion,Not Evaluated
Vitex negundo,Chaste Tree,Used for its anti-inflammatory effects and to relieve menstrual discomfort.,Lamiaceae,"Anti-inflammatory, menstrual relief","Flavonoids, essential oils",Low,Asia,Shrub,Leaves,Infusion,Not Evaluated
Xanthium strumarium,Cocklebur,Used for its anti-inflammatory properties and to treat respiratory issues.,Asteraceae,"Anti-inflammatory, respiratory health","Flavonoids, tannins",Low,Global,Herb,Leaves,Infusion,Not Evaluated
Zanthoxylum avicennae,Spiny Zanthoxylum,Used for its analgesic effects and to improve circulation.,Rutaceae,"Analgesic, circulation improvement","Alkaloids, flavonoids",Low,Southeast Asia,Tree,Bark,Decoction,Not Evaluated
Zingiber officinale,Ginger,Used for its digestive aid and anti-nausea properties.,Zingiberaceae,"Digestive aid, anti-nausea","Gingerol, flavonoids",Low,Global,Herb,Rhizome,Decoction,Not Evaluated
Ziziphus mauritiana,Indian Jujube,Rich in vitamins; used for its antioxidant and immune-boosting effects.,Rhamnaceae,"Antioxidant, immune support","Vitamins, flavonoids",Low,Global,Tree,Fruit,Raw or dried,Not Evaluated
